item:1, contenedor: 1, fila:0, col: 0
item:2, contenedor: 1, fila:3, col: 0
item:3, contenedor: 1, fila:6, col: 0
item:4, contenedor: 2, fila:0, col: 0
item:5, contenedor: 2, fila:3, col: 0
item:6, contenedor: 2, fila:6, col: 0
item:7, contenedor: 3, fila:0, col: 0
item:8, contenedor: 3, fila:3, col: 0
item:9, contenedor: 3, fila:5, col: 0
item:10, contenedor: 3, fila:7, col: 0
item:11, contenedor: 1, fila:0, col: 12
item:12, contenedor: 1, fila:9, col: 0
item:13, contenedor: 2, fila:9, col: 0
item:14, contenedor: 3, fila:9, col: 0
item:1, contenedor: 1, fila:0, col: 0
item:2, contenedor: 1, fila:3, col: 0
item:3, contenedor: 1, fila:6, col: 0
item:4, contenedor: 2, fila:0, col: 0
item:5, contenedor: 2, fila:3, col: 0
item:6, contenedor: 2, fila:6, col: 0
item:7, contenedor: 3, fila:0, col: 0
item:8, contenedor: 3, fila:3, col: 0
item:9, contenedor: 3, fila:5, col: 0
item:10, contenedor: 3, fila:7, col: 0
item:11, contenedor: 1, fila:0, col: 12
item:12, contenedor: 1, fila:9, col: 0
item:13, contenedor: 2, fila:9, col: 0
item:14, contenedor: 3, fila:9, col: 0
